I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
5,5,2,2,2,Critical Mineral commercial expertise,"Mining, Refining, Recycling",Bachelors,Chemistry,Switzerland,1260,310000,75,62,White,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,5,2,310000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",0,0,23,"Mining, Refining, Recycling",Pre-startup (planning),Switzerland,,6,251-500,1-10,Business Development,"Investor, Finance, Managing projects or programs, Marketing, Recruiting, Sales and services, Strategy and planning, Supply chain",Director/VP,"Challenge and innovation, Supportive team and environment",No,,3,3,4,5,Learning on the job,More hands-on skills,0,,commercial/technical combination,"risk/lack of security, compensation, lack of skilled talent",1,FALSE,5,5,4,5,"Salary, bonuses, Equity, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:22:04,3hoqyifl4dhqm20gc43hoqyi61402bng
3,1,3,3,2,,"Energy infrastructure, Software, Module/pack production",Doctorate,Materials Science and Engineering,United States,94025,56000,60,28,,Male,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,Battery Engineer,,"Desirable work location, Career growth opportunities, Job security, Work-life balance, Competitive salary and benefits",120000,0,,,,,,,,10/4/2024 18:20:16,zwoqigcpyn0csb5z1tzwoqsrwp0sar38
5,5,2,1,5,"Manufacturing, cell and testin","Cell production, Module/pack production, Product integration (vehicles, mobility)",Masters,,United States,,100,60,68,Decline to answer,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,1,1,100,"Bonuses (based on individual performance), Bonuses (based on company performance), Bonuses (based on retention), Equity (stock, options, etc.)",0,,4,Component/precursor production,Startup (early growth),United States,,6,1-10,,,"Investor, Finance, Managing people, Managing projects or programs, Recruiting, Research and development, Sales and services",Executive,"Challenge and innovation, Sustainability and impact","Yes, in a similar role",,,1,1,2,Learning on the job,Better foundational knowledge,5+,,Qualified people done need imposters,Training experience and exposure,0,FALSE,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:19:35,82i1k7qi4ne73qbi1ba2rm82i1k77dgb
4,3,5,5,4,,"Product integration (vehicles, mobility)",Doctorate,Chemical Engineering,United States,95134,200000,40,30,Asian,Female,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,4,170000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",0,1,2,"Product integration (vehicles, mobility)",Scale-up (rapid growth),United States,California,5,"501-1,000",1-10,,"Engineering and design, Testing and validation, New product introduction (NPI)",Career,"Challenge and innovation, Supportive team and environment, Learning and skills development, Competitive salary and benefits, Sustainability and impact",No,,4,3,2,2,Learning on the job,"Better foundational knowledge, More hands-on skills",1,,,,,FALSE,4,3,4,5,"Salary, bonuses, Job stability, Career growth opportunities, Work location flexibility, Total hours worked, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:19:29,f89j4q97mptxx29f89j4q9881tsvn9vi
3,3,2,2,5,I think that polymer science fundamentals are under appreciated in the battery space,Recycling,Doctorate,Chemical Engineering,United States,94550,,70,28,White,Male,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,Product development scientist,"Cell production, Consulting","Desirable work location, Challenge and innovation",115000,2,,"Quality, Research and development","Interpersonal communication, problem solving, leadership",Project planning,,22,40,10/4/2024 18:16:48,i8qutec2i06x0z6i4i8qutgv0v8us3yd
4,5,5,5,5,"Adaptability, Resilience, Creativity","Cell production, Recycling",Masters,Management and Business Administration,Mexico,76750,80000,60,49,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,2,80000,Commissions,0,0,2,"Consulting, Recycling",Startup (early growth),Mexico,,6,1-10,1-10,Founder,"Investor, Facilities, Finance, Legal, Managing projects or programs, Marketing, Recruiting, Sales and services, Strategy and planning, Supply chain",Executive,"Autonomy and independence, Sustainability and impact","Yes, in a similar role",,2,3,3,5,"Learning on the job, Formal training programs, Peer mentors","Better foundational knowledge, Better understanding of culture and norms, More hands-on skills",0,"Persistence 1, Vision 2, Creativity 3","CTO, technical roles","Knowledge of the industry 1, Stage of market 2,",1,TRUE,3,5,2,4,"Equity, Salary, bonuses, Company culture, Visa sponsorship",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:14:42,f7kjwieo4bk9yelivf7kjjn6nn4l2hp3
3,2,4,4,2,Patience; dexterity; statistical analysis,"Component/precursor production, Cell production, Recycling",Bachelors,Chemistry,United States,70037,68000,0,29,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,3,4,1,82000,"Equity (stock, options, etc.)",0,0,6,Component/precursor production,Startup (early growth),United States,Louisiana,0,11-50,1-10,None,"Engineering and design, Research and development, Testing and validation",Career,"Desirable work location, Work-life balance, Sustainability and impact, Challenge and innovation",No,,2,3,3,,Learning on the job,"Better foundational knowledge, More hands-on skills",1,Collaboration; critical thinking; patience,All of them,Lack of schooling; industry knowledge,0,TRUE,1,2,1,2,"Salary, bonuses, Job stability, Career growth opportunities, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:09:07,0604nsz576264r920604nnpv0v4c3ze5
3,3,3,3,4,"Cell design, Chemistry, Manufacturing and automation engineering.","Equipment manufacturing, Cell production, Component/precursor production",Bachelors,Physics,United States,95691,120000,40,39,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,5,3,120000,,0,1,1,Consulting,Startup (early growth),United States,California,5,1-10,1-10,VP of Engineering,"Engineering and design, Managing people, Recruiting, Product design, Software development, Software integration",Director/VP,"Sustainability and impact, Desirable work location, Challenge and innovation","Yes, in a different role",Instrumentation Engineer,3,4,4,5,Learning on the job,"Better foundational knowledge, More hands-on skills",3,"Robotics, Automation, and Energy",,Practical skills and understanding safety challenges,3,TRUE,2,2,3,3,"Work location flexibility, Career growth opportunities, Salary, bonuses, Perks, Vacation time, Equity",affordable homes or high salaries,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:05:26,43f5y9j1ie0403f43f5zwd0o5aops5k3
5,3,2,4,4,"Strategic Growth, B2B Lead Gen, D2C Growth Marketing","Energy infrastructure, Software",Bachelors,Marketing,Canada,L9Z2Z1,180000,50,37,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,3,180000,"Equity (stock, options, etc.), Education or tuition reimbursement",0,0,3,Software,Startup (early growth),United Kingdom,,0,101-250,1-10,Head of Growth Marketing,"Marketing, Sales and services, Managing people",Manager,"Hybrid/remote work, Sustainability and impact, Career growth opportunities, Challenge and innovation, Competitive salary and benefits","Yes, in a similar role",,4,3,4,4,Learning on the job,Better foundational knowledge,0,Resourcefulness. Communication. Leadership,SLT / Executive Leadership,Lack of job security. Competitive employment market. Lack of awareness to the indusrry,2,FALSE,5,3,3,4,"Equity, Job stability, Career growth opportunities, Work location flexibility, Total hours worked, Company culture, Vacation time, Salary, bonuses","Sustainability focus, the technology cannot make the planet worse, or their marketing/positioning in the market cannot be greenwashing.",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 18:05:10,5fkdt2a25pfxm3ei5fkdt1urmpqiqufv
5,5,4,1,5,"Technical, Problem solving and Management",Cell production,Doctorate,,India,603205,15,45,35,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,1,1,1500000,Patent incentive,1,,2,Cell production,Scale-up (rapid growth),India,,5,101-250,,Research Engineer,Research and development,Developing,"Work-life balance, Competitive salary and benefits, Learning and skills development, Career growth opportunities, Challenge and innovation","Yes, in a different role",Patent Analyst,3,1,4,5,Learning on the job,"Better foundational knowledge, More hands-on skills",0,,,,3,TRUE,1,5,1,5,"Vacation time, Salary, bonuses, Career growth opportunities, Visa sponsorship, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:58:49,qf55jnj5ey1d462qf55jnsv0vzvv5b8y
4,5,3,4,5,"1. Electrochemistry, 2. Cathode materials synthesis 3. Metallurgy","Refining, Component/precursor production, Mining",Doctorate,Materials Science and Engineering,United States,45420,220000,65,55,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,4,220000,"Bonuses (based on company performance), Equity (stock, options, etc.)",0,1,14,"Refining, Component/precursor production, Cell production, Recycling, Equipment manufacturing",Scale-up (rapid growth),United States,Ohio,5,51-100,51-100,CEO,"Investor, Engineering and design, IT infrastructure, Facilities, Finance, Legal, Managing people, Managing projects or programs, Marketing, Manufacturing and production, Recruiting, Research and development, Sales and services, Supply chain",Executive,"Autonomy and independence, Supportive team and environment, Desirable work location, Learning and skills development, Challenge and innovation, Work-life balance, Sustainability and impact","Yes, in a similar role",,2,2,2,5,Learning on the job,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,"Passion, common sense, thin-film deposition","1. CFO, 2. Design Engineer, 3, cathode materials scientist","1. Enough people coming through appropriate educational experience, 2. Citizenship, Visa’s 3. Uneven funding",0,FALSE,4,4,4,4,"Salary, bonuses, Job stability, Equity, Work location flexibility, Company culture","Impact, salary",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:56:19,aiv942766s5y9mfwjuh2ai10utpavchq
3,4,5,4,3,electrochemical analysis; data analysis; logical thinking,"Cell production, Recycling, Energy infrastructure",Doctorate,Chemical Engineering,United States,92604,150000,40,32,Asian,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,3,141000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,5,"Cell production, Component/precursor production",Startup (early growth),United States,California,3,51-100,1-10,Principal Process Engineer,"Engineering and design, Product design, Research and development",Career,"Hybrid/remote work, Desirable work location",No,,3,4,4,5,"Peer mentors, Learning on the job",Better foundational knowledge,0,electrochemical analysis; logical thinking,,compensation; good career path; location,0,FALSE,3,2,4,4,"Salary, bonuses, Career growth opportunities, Visa sponsorship",personal growth; clear career path; innovative,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:50:56,hipxe3xiqnzdkhipxzqqalivxg5j01lp
4,4,4,4,5,"Test bench, integration, pack-level assembly","Recycling, Product integration (stationary storage), Product integration (vehicles, mobility)",Masters,Materials Science and Engineering,United States,94550,90000,40,25,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,3,87000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Health and wellness stipends",0,0,1,Cell production,Established (significant market presence),United States,California,5,"5,001-10,000",1-10,Battery Materials Development Researcher,"Research and development, Engineering and design",Entry,"Job security, Learning and skills development, Career growth opportunities, Challenge and innovation, Work-life balance","Yes, in a similar role",,4,5,5,5,"Learning on the job, Peer mentors",More hands-on skills,2,"test bench, cell fabrication",Senior Battery Engineer,The hiring teams don't know what level of experience they're looking for. The interviews I gave in the Spring 2024 quarter- people in my hiring team were being laid off AS i was interviewing at the same time,2,,5,5,4,5,"Salary, bonuses, Equity, Vacation time, Career growth opportunities, Visa sponsorship, Total hours worked","Flexible working hours and vacation- as long as I deliver on my targets and work hard, I need the freedom of being allowed time off",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:48:31,ldy6co1lk58gb3bcbh5xldy6co8c8olg
4,4,4,4,4,"AI/ML, Electrochemical Expertise, Thermal Management","Energy infrastructure, Component/precursor production, Module/pack production",Diploma (high school),Management and Business Administration,United States,94605,165000,50,35,White,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:43:19,tyoa82vxop01y4y3g6atyoa82vn7i1ni
3,3,2,3,4,Manufacturing; AI optimization; Safety testing,"Cell production, Component/precursor production, Product integration (stationary storage)",Doctorate,Mechanical Engineering,United States,48105,60000,50,27,White,Male,,No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,5,Venture Capital Principal,"Consulting, Cell production, Recycling","Competitive salary and benefits, Career growth opportunities, Desirable work location, Work-life balance, Learning and skills development",150000,1,,"Testing and validation, Engineering and design, Manufacturing and production, New product introduction, Research and development",EIS; Data processing; Asking the right questions,New material evaluation; Pack design;,DCR,47,50,10/4/2024 17:42:32,ug2uhjn6i3v83n4hokug2uh2zb8svnou
4,4,2,1,2,"Battery modelling, testing and maintenance, battery safety","Energy infrastructure, Product integration (stationary storage), Software",Doctorate,Electrical Engineering,South Africa,7800,719940,53,36,Black or African American,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,1,719940,Bonuses (based on individual performance),0,1,1,Independent power producers,Established (significant market presence),South Africa,,5,101-250,1-10,Hybrid/BESS energy analyst,"Research and development, Engineering and design, Strategy and planning",Developing,"Challenge and innovation, Job security, Work-life balance, Supportive team and environment, Learning and skills development, Autonomy and independence, Career growth opportunities, Sustainability and impact","Yes, in a different role",Electrical Grid engineer,2,3,4,5,Learning on the job,"More hands-on skills, Better understanding of culture and norms",0,"Problems solving, communication, adaptability","Manager, team lead, project manager","Education and training gaps, competition among industry, specialised knowledge",1,TRUE,5,1,2,2,"Job stability, Equity, Perks, Career growth opportunities, Company culture, Visa sponsorship, Parental leave, Vacation time","Innovative environment, career growth opportunities, collaboration culture, work life balance",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:42:11,rj848n913drih4ydho08rj848n913245
4,4,4,4,3,,Software,Bachelors,Computer Science,United States,94702,178000,40,27,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,1,4,182000,"Equity (stock, options, etc.)",2,0,4,Cell production,Startup (early growth),United States,California,32,11-50,1-10,Senior Software Engineer,"Software development, Software integration",Career,"Work-life balance, Desirable work location, Supportive team and environment, Learning and skills development, Sustainability and impact","Yes, in a different role",Software Engineer,2,2,4,4,"Learning on the job, Formal training programs",More hands-on skills,1,Software Development; Python; Industrial IoT,Data Science; ML Engineer,We can't afford to hire,1,TRUE,4,3,2,2,"Salary, bonuses, Job stability, Equity, Perks, Company culture, Career growth opportunities",robotics; culture,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:41:08,jhu8zi6m0pl4wcsxijhu8z22qh7kbbbr
4,4,5,3,5,"cross-functional work, bsuiness/tech junction","Refining, Component/precursor production, Cell production",Doctorate,Physics,Germany,83253,100000,30,30,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,95000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,2,"Component/precursor production, Consulting",Startup (early growth),United States,California,0,101-250,1-10,Product Manager,"Engineering and design, Managing projects or programs, Product design, Research and development, Strategy and planning",Developing,,No,,2,3,3,4,"Learning on the job, Formal training programs",Better understanding of culture and norms,1,,,,1,TRUE,4,5,3,4,"Salary, bonuses, Job stability, Equity",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:34:58,ylu4ouaxbmx08i2clrxylu4oujrvcgli
5,5,3,3,4,Sales,"Cell production, Module/pack production, Software",Masters,Management and Business Administration,United States,85001,200000,60,45,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:33:09,dginlmtbv5jjeike0lvhzdginlcfyepp
3,3,2,3,3,"""electrochemistry fundamentals; AI methods; interdiscipinarys""","Recycling, Product integration (vehicles, mobility), Product integration (stationary storage)",Doctorate,Electrical Engineering,China,518071,6000,60,28,Asian,Male,Non-citizen (Other),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,Professor,"Energy infrastructure, Recycling, Product integration (stationary storage), Product integration (vehicles, mobility), Software","Career growth opportunities, Work-life balance, Competitive salary and benefits",200000,2,,"Quality, Software integration, Research and development","""AI; interdiciplinary""","""Good communications with industry needs""","""AI methods; Cloud-based computing""",15,20,10/4/2024 17:31:42,vuenza2e83gozjnolyaau88vuenzah7s
1,1,2,2,2,"Scientist, AI/ML, Supply Chain","Cell production, Module/pack production",Bachelors,Electrical Engineering,United States,11967,150000,40,43,White,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,1,90000,Commissions,0,0,10,Equipment manufacturing,Mid-sized (stable growth),United States,New York,0,1-10,1-10,Business Development Director,"New product introduction (NPI), Research and development, Sales and services, Marketing",Senior,"Autonomy and independence, Hybrid/remote work, Work-life balance, Job security, Challenge and innovation, Desirable work location","Yes, in a different role",Applications Engineer,4,4,4,5,Learning on the job,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,"Leadership, curiosity, attention",Engineering,"Location, salary",0,TRUE,3,4,3,4,"Salary, bonuses, Job stability, Equity, Career growth opportunities, Work location flexibility, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:31:41,g4mcpijk14zquvx3obneg4mc78ll01kk
4,4,3,4,4,"Gigafactory manufacturing experience; knowing how to work with Asian companies (technically, culturally, etc); multidisciplinary engineering (knowing how to speak the language of other parts of batteries)","Cell production, Module/pack production",Masters,Chemical Engineering,United States,95816,240000,50,31,Asian,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,3,4,160000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Commissions",0,1,1,"Cell production, Software",Scale-up (rapid growth),United States,California,0,11-50,21-50,,"Sales and services, Software development, Software integration",Senior,"Hybrid/remote work, Career growth opportunities, Competitive salary and benefits, Learning and skills development, Supportive team and environment, Autonomy and independence","Yes, in a similar role",,3,3,4,5,"Learning on the job, Peer mentors",Better understanding of culture and norms,3,Network to a wide range of people to understand fully the industry; learning quickly and trial by fire ;,Manufacturing directors; execs with actual battery making experience,Overspecialized in degrees,4,FALSE,4,5,5,5,"Salary, bonuses, Visa sponsorship, Work location flexibility, Equity",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:20:38,rza3ldoyezhk7toxhrza7l9x9usd4dbo
4,4,4,5,5,System engineering basics,"Cell production, Module/pack production",Masters,,Austria,8020,85000,45,30,White,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:19:52,hjo67ygko0ftlx824hjo6itavnndnakz
2,2,4,4,2,"Innovation, comperhensive understanding, contineous seeking for additional knowledge","Recycling, Energy infrastructure, Consulting",Doctorate,Chemistry,Israel,4615202,,55,54,"White, Middle Eastern or North African",Male,Citizen (native-born),Decline to answer,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,,,,,,,,1,Component/precursor production,Startup (early growth),Israel,,5,1-10,1-10,VP R&D,"Engineering and design, Legal, Managing people, Managing projects or programs, Recruiting, Research and development, Strategy and planning, Testing and validation",Director/VP,"Autonomy and independence, Career growth opportunities, Challenge and innovation, Sustainability and impact","Yes, in a similar role",,2,2,3,5,"Learning on the job, Formal training programs","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:19:33,sz2acqb1on61xwyxgzs8xsz2acqbw2d8
2,1,3,1,2,cell modeling ; political maneuvering; networking,Product integration (electronics),Bachelors,,United States,94587,140000,0,50,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,3,4,2,128000,"Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,7,Product integration (electronics),Established (significant market presence),United States,California,5,"100,000+",21-50,test engineer,"Engineering and design, Managing projects or programs, New product introduction (NPI), Product design, Research and development, Testing and validation",Career,"Desirable work location, Challenge and innovation, Learning and skills development, Autonomy and independence","Yes, in a similar role",,3,4,4,3,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",0,,,academic elitism and chronyism,4,FALSE,4,4,1,2,"Salary, bonuses, Job stability, Equity, Vacation time, Career growth opportunities, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:15:14,ti9w5r53v1rswwt4iti9w56uv0twb9r9
4,4,4,3,5,Data evaluation/statistics skills; genuine people skills; entrepeneurial mindset,"Product integration (vehicles, mobility), Cell production, Energy infrastructure",Doctorate,Physics,Sweden,41656,610000,45,30,Decline to answer,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,3,2,610000,"Bonuses (based on retention), Health and wellness stipends, Childcare expense reimbursement",0,0,1,"Product integration (vehicles, mobility)",Established (significant market presence),Sweden,,5,"100,000+",21-50,,"Managing people, Software integration, Software development",Senior,"Supportive team and environment, Career growth opportunities, Work-life balance",No,,5,5,5,4,Peer mentors,Better understanding of culture and norms,0,Personal responsibility taking; communication skills; domain knowledge,,,3,TRUE,5,,4,5,"Salary, bonuses, Equity, Career growth opportunities, Company culture, Visa sponsorship",Money; responsibility; career growth,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:14:19,il2qlp41jxauvrqssvv4hmil2qlp4pjy
5,4,4,4,4,"Creative engineering, clear communication and expectations, multidisciplinary thinker","Energy infrastructure, Recycling, Module/pack production",Bachelors,Mechatronics Engineering,Canada,K1Y0P9,85000,37,24,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,3,84000,,0,0,1,Module/pack production,Startup (early growth),Canada,,5,1-10,1-10,Hardware Developer,"Engineering and design, Research and development, Testing and validation",Career,"Work-life balance, Desirable work location, Challenge and innovation","Yes, in a similar role",,4,4,5,5,"Learning on the job, Peer mentors",,5+,Experience in battery field,,,,FALSE,,,,,"Salary, bonuses, Job stability, Work location flexibility, Company culture, Vacation time",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:13:53,es92tmrh8wg3esh50ieqftrowz1nj29p
5,5,1,5,5,,"Cell production, Module/pack production, Equipment manufacturing",Doctorate,Math,United States,15217,60000,70,30,White,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,5,5,90000,"Equity (stock, options, etc.), Bonuses (based on individual performance), Bonuses (based on company performance)",1,1,2,"Software, Consulting",Startup (early growth),United States,Pennsylvania,0,1-10,1-10,CEO,"Engineering and design, IT infrastructure, Finance, Legal, Managing people, Managing projects or programs, Marketing, New product introduction (NPI), Product design, Recruiting, Research and development, Sales and services, Software development, Strategy and planning, Testing and validation",Executive,"Challenge and innovation, Learning and skills development, Career growth opportunities, Autonomy and independence",No,,1,1,2,2,Learning on the job,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,critical thinking; problem solving; software development,VP of sales; COO,,2,FALSE,4,5,4,5,"Salary, bonuses, Work location flexibility, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:13:03,sxq40qy6g94acvysw4cwjghibyf9362g
5,5,5,1,5,"Design, Thermal, Packaging","Cell production, Module/pack production, Product integration (vehicles, mobility)",Masters,,India,,850000,45,29,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:11:14,q9xto47g349i2h2s59bq9xto44iuu3rk
